prov,region,isl_grp,alt_names,prov_psgc_code,region_name,region_code,source
Abra,CAR,Luzon,,1400100000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Apayao,CAR,Luzon,,1408100000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Benguet,CAR,Luzon,,1401100000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Ifugao,CAR,Luzon,,1402700000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Kalinga,CAR,Luzon,,1403200000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Mountain Province,CAR,Luzon,,1404400000,Cordillera Administrative Region  (CAR),1400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Ilocos Norte,Region I,Luzon,,0102800000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Ilocos Sur,Region I,Luzon,,0102900000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
La Union,Region I,Luzon,,0103300000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Pangasinan,Region I,Luzon,,0105500000,Region I  (Ilocos Region),0100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Batanes,Region II,Luzon,,0200900000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Cagayan,Region II,Luzon,,0201500000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Isabela,Region II,Luzon,,0203100000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Nueva Vizcaya,Region II,Luzon,,0205000000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Quirino,Region II,Luzon,,0205700000,Region II (Cagayan Valley),0200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Aurora,Region III,Luzon,,0307700000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Bataan,Region III,Luzon,,0300800000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Bulacan,Region III,Luzon,,0301400000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Nueva Ecija,Region III,Luzon,,0304900000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Pampanga,Region III,Luzon,,0305400000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Tarlac,Region III,Luzon,,0306900000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Zambales,Region III,Luzon,,0307100000,Region III (Central Luzon),0300000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Batangas,Region IV-A,Luzon,,0401000000,Region IV-A  (CALABARZON),0400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Cavite,Region IV-A,Luzon,,0402100000,Region IV-A  (CALABARZON),0400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Laguna,Region IV-A,Luzon,,0403400000,Region IV-A  (CALABARZON),0400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Quezon,Region IV-A,Luzon,,0405600000,Region IV-A  (CALABARZON),0400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Rizal,Region IV-A,Luzon,,0405800000,Region IV-A  (CALABARZON),0400000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Marinduque,MIMAROPA,Luzon,,1704000000,MIMAROPA Region,1700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Occidental Mindoro,MIMAROPA,Luzon,,1705100000,MIMAROPA Region,1700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Oriental Mindoro,MIMAROPA,Luzon,,1705200000,MIMAROPA Region,1700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Palawan,MIMAROPA,Luzon,,1705300000,MIMAROPA Region,1700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Romblon,MIMAROPA,Luzon,,1705900000,MIMAROPA Region,1700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Albay,Region V,Luzon,,0500500000,Region V  (Bicol Region),0500000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Camarines Norte,Region V,Luzon,,0501600000,Region V  (Bicol Region),0500000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Camarines Sur,Region V,Luzon,,0501700000,Region V  (Bicol Region),0500000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Catanduanes,Region V,Luzon,,0502000000,Region V  (Bicol Region),0500000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Masbate,Region V,Luzon,,0504100000,Region V  (Bicol Region),0500000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Sorsogon,Region V,Luzon,,0506200000,Region V  (Bicol Region),0500000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Aklan,Region VI,Visayas,,0600400000,Region VI  (Western Visayas),0600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Antique,Region VI,Visayas,,0600600000,Region VI  (Western Visayas),0600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Capiz,Region VI,Visayas,,0601900000,Region VI  (Western Visayas),0600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Guimaras,Region VI,Visayas,,0607900000,Region VI  (Western Visayas),0600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Iloilo,Region VI,Visayas,,0603000000,Region VI  (Western Visayas),0600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Negros Occidental,NIR,Visayas,,1804500000,Negros Island Region (NIR),1800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Negros Oriental,NIR,Visayas,,1804600000,Negros Island Region (NIR),1800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Siquijor,NIR,Visayas,,1806100000,Negros Island Region (NIR),1800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Bohol,Region VII,Visayas,,0701200000,Region VII  (Central Visayas),0700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Cebu,Region VII,Visayas,,0702200000,Region VII  (Central Visayas),0700000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Biliran,Region VIII,Visayas,,0807800000,Region VIII  (Eastern Visayas),0800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Eastern Samar,Region VIII,Visayas,,0802600000,Region VIII  (Eastern Visayas),0800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Leyte,Region VIII,Visayas,,0803700000,Region VIII  (Eastern Visayas),0800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Northern Samar,Region VIII,Visayas,,0804800000,Region VIII  (Eastern Visayas),0800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Samar,Region VIII,Visayas,,0806000000,Region VIII  (Eastern Visayas),0800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Southern Leyte,Region VIII,Visayas,,0806400000,Region VIII  (Eastern Visayas),0800000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Sulu,Region IX,Mindanao,,0906600000,Region IX  (Zamboanga Peninsula),0900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Zamboanga del Norte,Region IX,Mindanao,,0907200000,Region IX  (Zamboanga Peninsula),0900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Zamboanga del Sur,Region IX,Mindanao,,0907300000,Region IX  (Zamboanga Peninsula),0900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Zamboanga Sibugay,Region IX,Mindanao,,0908300000,Region IX  (Zamboanga Peninsula),0900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Bukidnon,Region X,Mindanao,,1001300000,Region X  (Northern Mindanao),1000000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Camiguin,Region X,Mindanao,,1001800000,Region X  (Northern Mindanao),1000000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Lanao del Norte,Region X,Mindanao,,1003500000,Region X  (Northern Mindanao),1000000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Misamis Occidental,Region X,Mindanao,,1004200000,Region X  (Northern Mindanao),1000000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Misamis Oriental,Region X,Mindanao,,1004300000,Region X  (Northern Mindanao),1000000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Davao de Oro,Region XI,Mindanao,,1108200000,Region XI (Davao Region),1100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Davao del Norte,Region XI,Mindanao,,1102300000,Region XI (Davao Region),1100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Davao del Sur,Region XI,Mindanao,,1102400000,Region XI (Davao Region),1100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Davao Occidental,Region XI,Mindanao,,1108600000,Region XI (Davao Region),1100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Davao Oriental,Region XI,Mindanao,,1102500000,Region XI (Davao Region),1100000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Cotabato,Region XII,Mindanao,,1204700000,Region XII (SOCCSKSARGEN),1200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Sarangani,Region XII,Mindanao,,1208000000,Region XII (SOCCSKSARGEN),1200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
South Cotabato,Region XII,Mindanao,,1206300000,Region XII (SOCCSKSARGEN),1200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Sultan Kudarat,Region XII,Mindanao,,1206500000,Region XII (SOCCSKSARGEN),1200000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Agusan del Norte,Region XIII,Mindanao,,1600200000,Region XIII (Caraga),1600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Agusan del Sur,Region XIII,Mindanao,,1600300000,Region XIII (Caraga),1600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Dinagat Islands,Region XIII,Mindanao,,1608500000,Region XIII (Caraga),1600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Surigao del Norte,Region XIII,Mindanao,,1606700000,Region XIII (Caraga),1600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Surigao del Sur,Region XIII,Mindanao,,1606800000,Region XIII (Caraga),1600000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Basilan,BARMM,Mindanao,,1900700000,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Lanao del Sur,BARMM,Mindanao,,1903600000,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Maguindanao del Norte,BARMM,Mindanao,,1908700000,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Maguindanao del Sur,BARMM,Mindanao,,1908800000,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
Tawi-Tawi,BARMM,Mindanao,,1907000000,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000,"PSGC 1Q 2026 National and Provincial Summary, Philippine Statistics Authority, as of 31 March 2026"
